# YouTube URLs for Hinglish Comment Extraction
# Add your YouTube video, playlist, or channel URLs below (one per line)
# Lines starting with # are ignored

# Example Indian YouTube channels with Hinglish comments:
# https://www.youtube.com/@CarryMinati
# https://www.youtube.com/@BBKiVines
# https://www.youtube.com/@ashishchanchlanivines

# Add your URLs here:
Name of the channel	Link to the channel	Channel ID
OSHO Hindi	https://youtube.com/@oshohindi?si=cExNXBIJ_Z2URjdI	UC6Qv9cHXwzTTAczQud_6WzA
Sadhguru Hindi	https://youtube.com/@sadhguruhindi?si=yMaPamMtSCBo4k9w	UCJ2KaH9TTjZdmKwwAFwwFkA
Bharat Ek Nayi Soch	https://youtube.com/@bharateknaisoch?si=P9B5OKVciBu0szkD	UC57yvPd55ZTu9EuMc-xKCsA
bharatzkitchen HINDI	https://youtube.com/@bharatzkitchenhindi?si=jtfVWIuKKKGSHuYQ	UCfD08FDOGbzIxCduGKkJ0Xg
Satya Bhanja Hindi	https://youtube.com/@satyabhanjahindi?si=mCixw6Q0Z8xeBwGD	UCyyFUaeewnGU9-1mIxqZ2cg
Narendra Modi	https://youtube.com/@narendramodi?si=lbX6cLghZlQZf01H	UC1NF71EwP41VdjAU1iXdLkw
ISHAN MONITOR	https://youtube.com/@ishanmonitor?si=Vtr6mU66aBvmZbgJ	UCRMavOo7JR7rIMYIuIaoHRg
Complete Technology	https://youtube.com/@completetechnology?si=ukrsDiBXkVMfnmeL	UCKnaflu7tLEm2S5yHBYfmtg
Doubtnut	https://youtube.com/@doubtnut?si=IzA9pzts_LTFT_ZH	UCcv7pspGHmM7AOywuLM1ufA
Hindi Audiobook	https://youtube.com/@hindiaudiobook?si=EWpoDiiU0kPZCe0G	UCrOQfzW6Wyw_pmP02nkbixA
Discovery हिन्दी	https://youtube.com/@discoveryhindi23?si=QU7UXJznX-poouUA	UCQ8TWHxwgav5oIjI2558_LQ
Pushkar Raj Thakur: Stock Market Educator	https://youtube.com/@pushkarrajthakurofficial?si=tzaeHcs32opLkg2y	UCEAAzv2OBqxsSczKJ2QZyGQ
Peace Real Life	https://youtube.com/@peacereallife?si=9luK532Uq15CIszU	UCN68cnJJ_tuIXjDmPR4NmvA
VD Motivational	https://youtube.com/@vdmotivation?si=1eym1JUzDAx46Df-	UC109Z-gA7xfojeYdUr_8LXA
Hindi Knowledge show	https://youtube.com/@hindiknowledgeshow?si=USG_btYOjGvVKz79	UC8EhYSyL1fveAWYxhlrLOaA
StudyIQ IAS हिंदी	https://youtube.com/@studyiqiashindi?si=Z2dXhPebOsUinXuu	UCKSGmEx5nKZCgjRny-9LaWQ
Drishti IAS	https://youtube.com/@drishtiiasvideos?si=0PSkUb3jUvtuvG5H	UCzLqOSZPtUKrmSEnlH4LAvw
Hindi Tutorials	https://youtube.com/@hinditutorialsofficial?si=MJUkf7S0QdVNa9Kh	UCKa6ggkkUn-fsUiUmbib1Tg
FactTechz	https://youtube.com/@facttechz?si=P0m6pZEfU2uCETL0	UCGdPm5Aq081vVD7ih9jZf6Q
National Geographic India	https://youtube.com/@natgeoindia?si=gF-Su_d0tdJdbrGL	UCD6YjjeAJQiT9ytdM2R8BeQ
Ruhi Çenet	https://youtube.com/@ruhicenetvideos?si=zWW6KxpaU6WGj-0T	UCWpk9PSGHoJW1hZT4egxTNQ
Hindi Countdown	https://youtube.com/@hindicountdown?si=zQur4sumltf9kqt-	UCk3GTZAJ3PLrVaz3qR74EcA
Filmi Indian	https://youtube.com/@filmiindian?si=vwciljJe88_U7En0	UCeiAKuJGZrIjYvaq0nMwbJg
YOGI BOLTA HAI	https://youtube.com/@yogiboltahai?si=TJc-q3rkILPnQtE8	UCIihexFQucy1Sm7V7yvL_mA
BnfTV	https://youtube.com/@bnftv?si=EupV3mLPQszp_gUg	UCUinnqDgIsNFleLdkZKbP-w
Career247	https://youtube.com/@career247official?si=tc_G-Jj08hzHn8q9	UCHyu2gwfAkOXWroIjvxVUCg
World Affairs by Unacademy	https://youtube.com/@worldaffairsunacademy?si=YIiL1Vy8IU9fXeOt	UCCJsQKOKArvDksacfT2ryQw
The Lallantop	https://youtube.com/@thelallantop?si=myHaFkne3E_6uXRV	UCx8Z14PpntdaxCt2hakbQLQ
Haunting Tube	https://youtube.com/@hauntingtube?si=xbRLcg8zN6ODWRf6	UCG7GwaHTUx8qQZzEr_HpS9Q
Movies Insight Hindi	https://youtube.com/@moviesinsighthindi?si=bwdjsbFeGonKnm7K	UCtxT50MzIRx0H2qdQYRoQeg
Watch Roz	https://youtube.com/@watchroz?si=be2esck9y3X6tS0f	UC0wao-qtsBkt5dDE6R6xnDw
Films Story	https://youtube.com/@filmsstory?si=NjQzK9RWjNmX0WMf	UCko1ooa0w3kGXeEYApPbI2w
Cinematic 17	https://youtube.com/@cinematic17?si=bRZDbcusviFvMDaT	UCY5OBzuSA_byO342WQ-6BNQ
Sonam Wangchuk	https://youtube.com/@sonamwangchuk66?si=93jO-P96UzuZqIs0	UC8gEnWuuNnBc6QPghEFUlhA
Abhi and Niyu	https://youtube.com/@abhiandniyu?si=-Pu9n3rD2JYLMC-D	UCsDTy8jvHcwMvSZf_JGi-FA
Vikas Divyakirti	https://youtube.com/@vikasdivyakirti?si=o6tDpozJTyVw84IY	UCkrtAaoos4rxt2cw2CIBjuA
Dhruv Rathee	https://youtube.com/@dhruvrathee?si=fqfpsAA5OuRoWbG4	UC-CSyyi47VX1lD9zyeABW3w
Professor Of How	https://youtube.com/@professorofhow?si=oHMqnJGXGPOLAOJa	UCepBxbSrGZkgjgGJuY04c-Q
Nitish Rajput	https://youtube.com/@nitishrajput?si=f5RMkfVj2M6UI52D	UC6WzPg6yxF9dQx2_O6R4lww
Crime Tak	https://youtube.com/@crimetak?si=24nXwxD3S6znErY1	UCpDxPj3sm40ISX5hn-TlYcw
Author Jyoti Speaks	https://youtube.com/@authorjyotispeaks?si=4vfARox5KIDrKZ7_	UCMcZRobMwj-5T4TeS7KfafA
जोश Talks	https://youtube.com/@joshtalkshindi?si=ot69YrbIcbe6AvZA	UC5MaEdGrolKRJXFdXgD7RAA
Sandeep Maheshwari	https://youtube.com/@sandeepseminars?si=gR-eTm6EgtjWMmPY	UCBqFKDipsnzvJdt6UT0lMIg
Awesome Gyan	https://youtube.com/@awesomegyan?si=Ig7Cf1mVtFx3e-wS	UCzGKm5ckI3yNKQSXW1BUNgg
SidTalk	https://youtube.com/@sidtalk?si=zgwVvwR4CqoeyfSi	UCfgZg9Vl5AwedH14BYgLXTQ
Technical Guruji	https://youtube.com/@technicalguruji?si=Fb8Ge3aFG7okuBVR	UCOhHO2ICt0ti9KAh-QHvttQ
Dr. Vivek Bindra: Motivational Speaker	https://youtube.com/@mrvivekbindra?si=iy9dPd40S2lxsjVc	UCR-foyF-C6VuAlwy3KZMkgA
Bhajan Marg	https://youtube.com/@bhajanmarg?si=Tc04wIH74WMsv8VP	UCEk1jBxAl6fe-_G37G7huQA
Sadhan Path	https://youtube.com/@sadhanpath?si=LRek7EXgyZuBqwih	UCpUnZne50-w2U7lF9g8vBSw
Techno Gamerz	https://youtube.com/@technogamerzofficial?si=w91tyhd3ft4Ye_AP	UCX8pnu3DYUnx8qy8V_c6oHg
GunjanShouts	https://youtube.com/@gunjanshouts?si=gF31tV8SD_DMEGaK	UCKRpf_HZfpLwxuIgyeYnsVw
Dangal TV Channel	https://youtube.com/@dangaltvchannel?si=NVdY3qbxKfbGctIE	UCNzmmbXIbMzlqE8nD1PBXfg
Sourav Joshi Vlogs	https://youtube.com/@souravjvlogs?si=EojcdtpygDF2Yp1Z	UCjvgGbPPn-FgYeguc5nxG4A
Dimple Malhan Vlogs	https://youtube.com/@dimplemalhanvlogs?si=D7PaXYIIVJNplEER	UCHDQOZjxuSm0-LgLQtMeCqw
Mohak Mangal	https://youtube.com/@mohak_mangal?si=7DcCn2iNCLm4gclN	UCz4a7agVFr1TxU-mpAP8hkw
Manoj Dey	https://youtube.com/@manojdey?si=ZuB0EHBn5nybmyXY	UCT2xzagsBVtStUCA2ulvKmQ
Shubhankar Mishra	https://youtube.com/@shubhankarmishraofficial?si=Bb-4hQp1g2JtVED0	UCYalWwW79BdxmMTKUyBFj5g
Yashasvi Rajpoot	https://youtube.com/@yashasvirajpoot604?si=yCC4j2TiNOysbz7C	UCid1KzwLPMJxMCCNDwPwH4w
GROW with ME	https://youtube.com/@grrowwithme?si=thf1gy9BH9SyzE46	UC_lMHnKnRGNlnC6SsTHEKMg
Active Rahul	https://youtube.com/@activerahul?si=vbYm3gchj6IIR9gv	UC-RePsOrv62H7p5ZPpo05Vg
Rahul Upmanyu	https://youtube.com/@rahulupmanyu?si=M_Z8cMLousEqLbvW	UCy24j0xJXAUDhyAlfJUMN3w
Aayu and Pihu Show	https://youtube.com/@aayuandpihushow?si=Cj-3VJgWAYAulVfY	UCFcBAGR0drI3F15EhMFjuTg
CoolMitra	https://youtube.com/@coolmitra?si=zdJQxutRchP_9Gg_	UCHb00yEZ_yY_inLGdSBa7GQ
Him-eesh Madaan	https://youtube.com/@himeeshmadaan?si=ZsfcpGbQdmka6H81	UCZQDF0x18Xe6RZayvod99zA
SuperSuper	https://youtube.com/@supersuperofficial?si=gUF9NoVX934bMHSG	UCv6JhmcvEtUN8EYKJSrbo7w
ComicVerse	https://youtube.com/@comicverseog?si=OuQGl8nLig3UsIXx	UCKQ5Jj35sjTmJigRtlCPhVQ
DesiNerd	https://youtube.com/@desinerd?si=wX13ARKrf5pREIM_	UCstnglENMRhOF17cD6iH6kA
Gaurav Thakur	https://youtube.com/@gauravthakur-gsf?si=XWhj1FvBur9tmVfR	UCRgMIwmmh1-2k5HeTQ2cdkQ
GetsetflySCIENCE by Gaurav Thakur	https://youtube.com/@getsetfly?si=B0lcEWGpo49bOgi8	UC00ifCvU8YOOzbL3RdiSTDw
Ayush Bhandari	https://youtube.com/@ayushbhandari?si=pEfysRVKnffNIUat	UCTig_sB8GjLOcTYBcw6700w
Slayy Point	https://youtube.com/@slayypointofficial?si=ESQz2cijBd3ZeK1_	UCtgGOdTlM-NdJ9rPKIYN8UQ
Apna College	https://youtube.com/@apnacollegeofficial?si=WC0Jj8l6CIxIR0YZ	UCBwmMxybNva6P_5VmxjzwqA
Ankit Inspires India	https://youtube.com/@ankitinspiresindia?si=SZXxyXb6fCqDUTrt	UC2Nwwobsd0ctkzVieXZvyQA
Baaten Bazar Ki (BBK)	https://youtube.com/@baatenbazarki?si=axMKfueWC6bsBwfk	UCkAlEDBOaqMfe7la9vwIxOA
StudyIQ IAS	https://youtube.com/@studyiqeducationltd?si=ng5NNJgif8djFM2K	UCrC8mOqJQpoB7NuIMKIS6rQ
Apni Pathshala	https://youtube.com/@apni.pathshala?si=fXqlCHLpViqhB1Eo	UCcBc0kafKTdcc5NAGEmA83g
Study Glows	https://youtube.com/@studyglows?si=oWAByBgAx-igBE28	UCmB6U6fVkEaUpOI-_5uRjZA
OnlyIAS हिन्दी माध्यम	https://youtube.com/@pwonlyiashindimedium?si=KyjwIT42WfVIH-a7	UCmrP-DYdZuThp8AO9lnnwNw
The Study IAS By Manikant Singh	https://youtube.com/@thestudyias?si=bm8kAtWl1L195-Hh	UC1gBk2nNZ9_VgJ5CrdQjnyQ
IAS Hindi	https://youtube.com/@iashindi?si=CyJQKq3LZ2rbZxeT	UClhCePCtrH2HvO1DpVCbKSA
Study IAS with Dharmendra jakhar	https://youtube.com/@studyiaswithdj?si=BesmD_sHHo0_I9_K	UCZ52RYSuqjkLqOrlScVDMhA
Vision IAS Hindi	https://youtube.com/@visioniashindi?si=ZndNBMp8mjMrW7eD	UCRr_ix2-7Z6EjfVopOAc4aA
Study for RAS & IAS	https://youtube.com/@studyforrasandias?si=DR45LhH_bPwsUqxG	UCKqa8Hc1yGNYp99AukNJSWA
KGS IAS Hindi	https://youtube.com/@kgs-iashindi?si=IL7FRRU4Uj2n_0N3	UC8yuaNBUMgttmcteh6W84OA
SHUBHRA RANJAN IAS STUDY HINDI	https://youtube.com/@shubhraranjaniasstudyhindi?si=opfX0qh-9xIZpWfl	UCf8YCciKJfTKMb2dwAi1PtQ
StudY LoveR- VeeR	https://youtube.com/@studyloverveer?si=P_C9yhpKJxLOuqOM	UCPzDoraqPsAkLPAGpiX2V9A
Study UPSC IAS with Ritu Ma'am	https://youtube.com/@ritumaam?si=5CQDU8M56m_Lv6S5	UC9nXu8lXgNPno2imDNqctZw
Drishti PCS	https://youtube.com/@drishtipcsvideos?si=-xRgfj1eDQtEk5Rw	UCsEHYlZjY9LYIIvEsynL_yQ
BPSC StudyIQ	https://youtube.com/@bpscstudyiq?si=K4bywaf7K7ec-dWS	UC-7fHTMoiyy9quFHzKyaNFg
Manisha Rani	https://youtube.com/@manisharanicomedy?si=wQqsXz5KOvO32SaA	UCYHU3nB-21PeM1FmmLbergA
Perfection IAS	https://youtube.com/@perfectionias?si=pW_NJDZfwbFxrtyL	UCBd61UH6lNpHVMN7BADwBNw
LakshayThakurrr	https://youtube.com/@lakshaythakurrr?si=8Hvmn7F-6Lv3OzxH	UC0bAD3JOLslf7PviSjwGIjw
SO TRENDZY	https://youtube.com/@sotrendzy?si=Y-o4gn0Px0uZZO3y	UC3dy0r-HxPrWTRHVvicdMmg
Techno Ruhez	https://youtube.com/@technoruhez?si=MiW28WQQ5qtkiYwv	UC8vlDm5xvbxOrCvdu9UNOiA
Tech Burner	https://youtube.com/@techburner?si=jNdG4g6mh2v4gpun	UCXUJJNoP1QupwsYIWFXmsZg
Technology Gyan	https://youtube.com/@technologygyan?si=UERT4-7CoYP5rQH4	UC1tVU8H153ZFO9eRsxdJlhA
CookingShooking Hindi	https://youtube.com/@cookingshookinghindi?si=NiNVypCQXv3c7zYw	UCTbNOCtAGaqOEnLMeo3JTeg
We Make Creators	https://youtube.com/@wemakecreators?si=qmK4EFPKrfq9mdBT	UCr6hHjMNvgQxErQ1ZJV4drw
Chef Ranveer Brar	https://youtube.com/@ranveerbrar?si=Ba8HhcL_LHJgSp8N	UCEHCDn_BBnk3uTK1M64ptyw
Farah Khan	https://youtube.com/@farahkhank?si=sci6-GX_7R5K-60-	UChCYMXLO_SfiNwOc2rlNKCA
Cooking Channel Hindi	https://youtube.com/@cookingchannelhindi?si=b2ent9k6nWx0RLst	UCwNFJHVv1dnqtyhBj6LoVFQ
CookwithParul	https://youtube.com/@cookwithparul?si=N2wScR_leY-TSzFy	UClfidxoNRvDO361TM5rw64Q
Anukriti Cooking Recipes Hindi - Specials	https://youtube.com/@anukriticookingrecipeshindi?si=cyiFSVkG5gLPVTz1	UCh6F4Vvdy4YT6-LbP53CgAg
Sanjeev Kapoor Khazana	https://youtube.com/@sanjeevkapoorkhazana?si=WJ-5GmpcJTzJL9RK	UCmoX4QULJ9MB00xW4coMiOw
Ruby Ka Kitchen	https://youtube.com/@rubykakitchen?si=Lg5QbI__FTmhLUHe	UCMhx-uS3O-G_6_lTrYmDKLw
Nick DiGiovanni	https://youtube.com/@nickdigiovanni?si=yIeBtwfnpz9do_42	UCMyOj6fhvKFMjxUCp3b_3gA
Hindi Cooking Channel	https://youtube.com/@hindicookingchannel8712?si=Swm6dYRJB2vsIq2J	UC5HEt-OoLa2Z8VR9KbCmykw
Kabita's Kitchen	https://youtube.com/@kabitaskitchen?si=r732b6qwWEdPPXtZ	UCChqsCRFePrP2X897iQkyAA
Kanak's Kitchen Hindi	https://youtube.com/@kanakskitchenhindi?si=HPHAn99ucblwn8Rf	UCOUHiRSRIuguyUVY5q_hl7A
Nawab’s Kitchen Food For All Orphans	https://youtube.com/@nawabskitchenfoodforallorphans?si=mPdZhweZ56uw6Nhy	UCGSLH_5EGpS2eEkjEOkZLIg
Vahchef - Hindi	https://youtube.com/@vahchefhindi?si=DHA0YhvNgdQ-vghO	UCwuYBaTSZkqsmpJz5DPF9HA
Kitchen with Amna	https://youtube.com/@kitchenwithamna?si=9Lk8nxna9TcOxcLl	UCQ2P7C8UGoVM6AhqsVx-M0Q
Multi DO Challenge Hindi	https://youtube.com/@multidochallengehindi7756?si=R0ee5K1q4YyBBq2i	UCzN2cEdV5dqr9IzEz1S7MCQ
Hindi Cooking Bihar	https://youtube.com/@hindicookingbihar?si=09E6qFuRgZN7eTsi	UCaj4PWCqLrouZsnuhJDWORA
Sheetal's Kitchen - Hindi	https://youtube.com/@sheetalskitchenhindi?si=2-LOKlvi-Rrg6qA2	UCq0AD62K4y1zByvaBGt_oNg
Cook and Fry Hindi	https://youtube.com/@cookandfryhindi?si=z0CG_RreJnvRzkk2	UC-SoUByxMIWRxpxo-aQXkjw
Cooking With Chef Ashok	https://youtube.com/@cookingwithchefasok?si=zIUOoYo4SI3GhokB	UCLi0vSLZdS3Xvc5Th1O49jQ
Radhika Real Vlogs	https://youtube.com/@radhikarealvlogs?si=uyMGWWrJD3ZD3WiN	UCWzJV0Z8NsRPqFXinD45SUw
USHA Village Food	https://youtube.com/@ushavillagefood?si=fPM6VDF4mS1acP7c	UCh54cGP_9kRDrw9eleY7abw
Kadian's Cooking	https://youtube.com/@kadianscooking7050?si=z-gWxqeMq-lwTh_i	UC0SEHxuuqACait9DNmawJYw
Fit Tuber Hindi	https://youtube.com/@fittuberhindi?si=vRPCqhRJVpmXVkkt	UCDWVNwQce16D16tPc5NBYlQ
